Date,Open,High,Low,Close
2016/9/5,9032.38,9100.05,9032.38,9090.13
2016/9/2,9015.63,9038.48,8958.81,8987.55
2016/9/1,9055.73,9069.13,8980.21,9001.15
2016/8/31,9122.19,9130.76,9044.5,9068.85
2016/8/30,9113.34,9134.37,9093.87,9110.56
2016/8/29,9117.53,9136.42,9027.35,9110.17
2016/8/26,9097.02,9131.72,9092.08,9131.72
2016/8/25,9034.47,9115.47,9031.34,9115.47
2016/8/24,9043.13,9054.76,9016.39,9017.38
2016/8/23,8987.07,9046.3,8986.76,9030.93
2016/8/22,9004.68,9012.72,8928.33,8981.81
2016/8/19,9139.69,9175.13,9034.27,9034.27
2016/8/18,9104.88,9128.8,9093.51,9122.5
2016/8/17,9121.18,9133.07,9073.27,9117.7
2016/8/16,9146.09,9165.58,9082.34,9110.36
2016/8/15,9152.36,9162.02,9117.26,9148.51
2016/8/12,9135.34,9173.72,9135.34,9150.39
2016/8/11,9168.7,9187.18,9063.81,9131.83
2016/8/10,9160.94,9200.42,9131.63,9200.42
2016/8/9,9154,9168.34,9127.63,9155.08
2016/8/8,9123.07,9153.99,9104.43,9150.26
2016/8/5,9025.76,9101.71,9023.23,9092.12
2016/8/4,9009.29,9035.25,8972.31,9024.71
2016/8/3,9000.82,9033.95,8948.4,9001.71
2016/8/2,9081.06,9086.42,9052.71,9068.76
2016/8/1,9008.74,9080.71,9008.74,9080.71
2016/7/29,9066.37,9071.51,8984.41,8984.41
2016/7/28,9060.48,9081.4,9015.35,9076.64
2016/7/27,9058.19,9084.9,9042.14,9063.39
2016/7/26,8983.55,9024.79,8960.48,9024.79
2016/7/25,9030.36,9085.91,8916.05,8991.67
2016/7/22,9055.17,9060.15,9004.24,9013.14
2016/7/21,9010.22,9075.89,9009.79,9056.56
2016/7/20,9013.52,9034.13,8969.19,9007.68
2016/7/19,9018.8,9034.87,8972.83,9034.87
2016/7/18,8952.61,9008.21,8952.61,9008.21
2016/7/15,8857.15,8949.85,8857.15,8949.85
2016/7/14,8837.76,8877.31,8818.26,8866.36
2016/7/13,8847.04,8865.42,8800.17,8857.75
2016/7/12,8794.73,8841.46,8794.3,8841.46
2016/7/11,8728.23,8795.8,8728.23,8786.47
2016/7/7,8605.38,8653.7,8605.38,8640.91
2016/7/6,8673.53,8673.53,8569.15,8575.75
2016/7/5,8738.41,8747.06,8693.76,8716.07
2016/7/4,8728.32,8782.38,8712.12,8760.58
2016/7/1,8692.48,8755.62,8680.53,8738.24
2016/6/30,8615.46,8666.58,8583.77,8666.58
2016/6/29,8530.37,8609.23,8530.37,8586.56
2016/6/28,8438.76,8505.51,8396.01,8505.51
2016/6/27,8406.29,8468.66,8386.27,8458.87
2016/6/24,8684.53,8691.3,8374.26,8476.99
2016/6/23,8706.08,8711.21,8662.78,8676.68
2016/6/22,8675.12,8716.25,8653.04,8716.25
2016/6/21,8633.21,8684.85,8627.4,8684.85
2016/6/20,8612.26,8642.15,8604.81,8625.92
2016/6/17,8538.28,8607.16,8538.28,8568.08
2016/6/16,8583.19,8584.67,8476.84,8494.14
2016/6/15,8566.43,8608.29,8524.55,8606.37
2016/6/14,8513.51,8577.31,8503.42,8576.12
2016/6/13,8634.24,8634.24,8520.21,8536.22
2016/6/8,8704.66,8754.82,8690.59,8715.48
2016/6/7,8622.21,8692.73,8621.46,8679.9
2016/6/6,8605.15,8664.12,8557.68,8597.11
2016/6/3,8565.18,8601.05,8559.77,8587.36
2016/6/2,8598.47,8635.03,8553.54,8556.02
2016/6/1,8516.08,8603.63,8514.12,8597.16
2016/5/31,8532.21,8545.73,8488.9,8535.59
2016/5/30,8476.62,8563.4,8462.15,8535.87
2016/5/27,8415.59,8463.61,8415.59,8463.61
2016/5/26,8400.89,8410.74,8376.6,8394.12
2016/5/25,8352.84,8417.27,8352.84,8396.2
2016/5/24,8329.69,8354.62,8298,8300.66
2016/5/23,8150.38,8356.96,8119.71,8344.44
2016/5/20,8108.68,8165.98,8080.65,8131.26
2016/5/19,8159.93,8166.96,8067.33,8095.98
2016/5/18,8115.61,8159.68,8061.26,8159.68
2016/5/17,8081.89,8151.2,8047.31,8140.48
2016/5/16,8035.21,8091.48,8003.93,8067.6
2016/5/13,8095.93,8095.93,7999.98,8053.69
2016/5/12,8122.78,8162.44,8105.49,8108.05
2016/5/11,8182.92,8204.51,8115.44,8135.56
2016/5/10,8119.71,8168.13,8075.58,8156.29
2016/5/9,8156.65,8177.36,8106.13,8131.83
2016/5/6,8169.54,8170.68,8104.16,8146.43
2016/5/5,8182.05,8207.98,8122.34,8167.96
2016/5/4,8282.52,8285.96,8153.57,8185.47
2016/5/3,8362.35,8363.59,8268.41,8294.12
2016/4/29,8424.04,8424.04,8352.23,8377.9
2016/4/28,8586.92,8595.99,8456.38,8473.87
2016/4/27,8561.37,8597.64,8537.03,8563.05
2016/4/26,8556.37,8622.42,8554.55,8581.57
2016/4/25,8541.14,8560.28,8513.73,8560.28
2016/4/22,8560.21,8580.33,8501.03,8535.75
2016/4/21,8549.14,8568.65,8508.92,8568.65
2016/4/20,8649.09,8695.22,8502.55,8514.48
2016/4/19,8701.75,8743.35,8627.29,8633.72
2016/4/18,8681.8,8686.98,8650.13,8666.01
2016/4/15,8634.23,8700.39,8613.25,8700.39
2016/4/14,8684.93,8719.15,8653.84,8667.71
2016/4/13,8562.79,8653.08,8561.9,8652.08
2016/4/12,8561.21,8613.56,8520.14,8531.18
2016/4/11,8518.96,8568.44,8476.57,8562.59
2016/4/8,8464.78,8546.31,8452.05,8541.5
2016/4/7,8523.25,8529.44,8436.54,8490.25
2016/4/6,8605.16,8605.16,8496.89,8513.3
2016/4/1,8700.38,8704.53,8628.94,8657.55
2016/3/31,8757.22,8803.91,8695.08,8744.83
2016/3/30,8624.93,8744.47,8624.93,8737.04
2016/3/29,8687.06,8711.11,8585.71,8617.35
2016/3/28,8713.72,8737.86,8676.03,8690.45
2016/3/25,8758.14,8765.62,8699.89,8704.97
2016/3/24,8745.42,8765.96,8676.87,8743.38
2016/3/23,8777.88,8814.5,8734.55,8766.09
2016/3/22,8806.02,8814.37,8713.24,8785.68
2016/3/21,8826.16,8840.75,8747.59,8812.7
2016/3/18,8747.05,8810.71,8747.05,8810.71
2016/3/17,8763.51,8826.84,8716.88,8734.54
2016/3/16,8637.63,8699.14,8637.63,8699.14
2016/3/15,8745.57,8759.94,8589.41,8611.18
2016/3/14,8746.48,8777.05,8739.57,8747.9
2016/3/11,8663.29,8707.97,8640.96,8706.14
2016/3/10,8633.66,8680.43,8614.97,8660.7
2016/3/9,8649.1,8657.17,8588.41,8634.11
2016/3/8,8655.86,8668.51,8575.7,8664.31
2016/3/7,8656.74,8727.88,8632.21,8659.55
2016/3/4,8611.37,8648.94,8584.06,8643.55
2016/3/3,8569.05,8630.77,8561.74,8611.79
2016/3/2,8544.66,8586.25,8540.17,8544.05
2016/3/1,8381.38,8489.01,8378.06,8485.69
2016/2/26,8380.53,8432.74,8347.8,8411.16
2016/2/25,8304.18,8388.63,8304.18,8365.86
2016/2/24,8332.66,8382.25,8264.39,8282.86
2016/2/23,8333.59,8361.79,8311.94,8334.64
2016/2/22,8315.79,8396.62,8296.18,8326.68
2016/2/19,8291.83,8325.04,8280.39,8325.04
2016/2/18,8261.74,8337.97,8261.74,8314.67
2016/2/17,8240.73,8253.8,8196.13,8214.25
2016/2/16,8090.91,8227.19,8090.91,8212.07
2016/2/15,7976.65,8074.8,7953.99,8066.51
2016/2/3,8117.22,8117.22,8036.6,8063
2016/2/2,8141.52,8156.25,8091.14,8131.24
2016/2/1,8164.24,8166.8,8110.87,8156.96
2016/1/29,7880.78,8080.6,7876.82,8080.6
2016/1/28,7825.22,7921.06,7821.12,7905.1
2016/1/27,7863.66,7888.63,7830.33,7849.83
2016/1/26,7832.1,7848.63,7799.58,7828.67
2016/1/25,7813.73,7899.66,7813.73,7894.15
2016/1/22,7729.01,7774.12,7706.14,7756.18
2016/1/21,7713.17,7748.37,7664.01,7664.01
2016/1/20,7835.17,7835.17,7687.6,7699.12
2016/1/19,7816.45,7854.88,7786.77,7854.88
2016/1/18,7678.67,7834.25,7627.89,7811.18
2016/1/15,7809,7842.34,7708.66,7762.01
2016/1/14,7752.09,7752.09,7662.34,7742.88
2016/1/13,7799.56,7865.98,7786.33,7824.61
2016/1/12,7807.93,7851.81,7732.11,7768.45
2016/1/11,7855.8,7855.8,7726.22,7788.42
2016/1/8,7811.2,7906.55,7788.71,7893.97
2016/1/7,7963.24,7980.5,7770.16,7852.06
2016/1/6,8064.25,8076.54,7948.43,7990.39
2016/1/5,8105,8142.64,8055.96,8075.11
2016/1/4,8315.79,8326.33,8109.09,8114.26
2015/12/31,8273.77,8338.06,8258.73,8338.06
2015/12/30,8313.37,8342.34,8262.52,8279.99
2015/12/29,8349.27,8351.16,8286.84,8293.91
2015/12/28,8374.18,8394.6,8358.49,8358.49
2015/12/25,8328.94,8364.3,8320.1,8363.28
2015/12/24,8351.2,8393.41,8324.36,8324.36
2015/12/23,8296.58,8359.25,8296.58,8315.7
2015/12/22,8283.03,8316.44,8261.72,8292.74
2015/12/21,8228.05,8289.59,8191.53,8282.17
2015/12/18,8272.41,8317.48,8241.32,8257.32
2015/12/17,8214.62,8319.67,8214.62,8319.67
2015/12/16,8144.03,8204.2,8121.06,8184.66
2015/12/15,8074.48,8140.06,8073.35,8073.35
2015/12/14,8058.67,8068.98,7980.59,8040.16
2015/12/11,8217.33,8253.11,8108.68,8115.89
2015/12/10,8214.27,8228.43,8133.42,8216.17
2015/12/9,8329.86,8343.37,8229.62,8229.62
2015/12/8,8442.06,8453.63,8335.67,8343.86
2015/12/7,8432.47,8535.36,8432.47,8454.27
2015/12/4,8423.7,8423.7,8355.75,8398.6
2015/12/3,8424.54,8484.52,8393.29,8456.06
2015/12/2,8475.96,8497.19,8441.28,8457.4
2015/12/1,8359.27,8463.3,8339.5,8463.3
2015/11/30,8339.83,8339.83,8239,8320.61
2015/11/27,8493.18,8505.08,8397.49,8398.4
2015/11/26,8411.16,8510.7,8411.16,8484.9
2015/11/25,8407.54,8426.62,8352.17,8386.13
2015/11/24,8472.24,8497.83,8397.44,8400.14
2015/11/23,8480.59,8503.08,8450.01,8485.73
2015/11/20,8472.65,8484.06,8434.33,8465.45
2015/11/19,8382.09,8477.2,8357.2,8477.2
2015/11/18,8432.25,8455.14,8326.72,8340.47
2015/11/17,8369.14,8471.89,8369.14,8419.42
2015/11/16,8278.12,8312.06,8217.34,8295.4
2015/11/13,8402.11,8453.04,8329.5,8329.5
2015/11/12,8426.76,8467.31,8374.07,8428.09
2015/11/11,8543.63,8557.69,8415.01,8415.01
2015/11/10,8614.55,8614.55,8529.54,8536.9
2015/11/9,8702.67,8746.28,8623.7,8642.48
2015/11/6,8857.61,8857.61,8671.89,8693.57
2015/11/5,8858.73,8871.87,8828.04,8850.18
2015/11/4,8759.94,8864.17,8754.18,8857.02
2015/11/3,8643.21,8728.06,8643.21,8713.19
2015/11/2,8571.53,8614.77,8524.01,8614.77
2015/10/30,8578.25,8586.9,8503.69,8554.31
2015/10/29,8682.58,8704.59,8568.13,8571.08
2015/10/28,8679.24,8714.01,8632.38,8665.99
2015/10/27,8724,8733.53,8662.77,8701.32
2015/10/26,8706.81,8757.14,8706.81,8745.36
2015/10/23,8671.52,8740.08,8662.03,8673.81
2015/10/22,8600.4,8631.17,8594.21,8608.46
2015/10/21,8668.08,8690.39,8591.42,8609.23
2015/10/20,8651.08,8663.12,8618.48,8653.6
2015/10/19,8628.79,8670.32,8603.08,8631.5
2015/10/16,8596.43,8627.83,8574.64,8604.95
2015/10/15,8573.38,8652.47,8573.38,8601.52
2015/10/14,8545.14,8553.87,8515.53,8522.51
2015/10/13,8571.57,8574.11,8518.41,8567.92
2015/10/12,8478.34,8578.22,8478.34,8573.72
2015/10/8,8528.46,8544.93,8434.5,8445.96
2015/10/7,8398.53,8495.23,8385.04,8495.23
2015/10/6,8409.31,8482.83,8390.89,8394.1
2015/10/5,8342.99,8364.59,8316.83,8352.36
2015/10/2,8290.43,8320.66,8253.75,8305.03
2015/10/1,8194.3,8317.79,8170.78,8295.94
2015/9/30,8097.15,8181.24,8059.68,8181.24
2015/9/25,8131.49,8152.5,8061.87,8132.35
2015/9/24,8224.23,8257.14,8101.9,8123.1
2015/9/23,8310.82,8310.82,8186.22,8193.42
2015/9/22,8331.44,8365.92,8325.78,8365.92
2015/9/21,8404.5,8404.5,8285.43,8307.04
2015/9/18,8427.52,8488.53,8399.71,8462.14
2015/9/17,8377.31,8467.15,8377.31,8445.5
2015/9/16,8298.13,8342.36,8276.94,8333.29
2015/9/15,8320.22,8327.95,8226.07,8259.99
2015/9/14,8332.57,8360.03,8259.31,8307.29
2015/9/11,8271.25,8313.18,8233.14,8305.82
2015/9/10,8247.64,8274.82,8214.5,8268.68
2015/9/9,8097.22,8296.13,8097.22,8286.92
2015/9/8,7993.1,8031.26,7978.78,8001.5
