Date,Open,High,Low,Close,Volume,Adj Close
2015-07-01,69.40,70.30,69.25,70.05,6034000,70.05
2015-06-30,68.80,69.40,68.80,69.40,4086000,69.40
2015-06-29,69.35,69.60,68.75,68.80,11564000,68.80
2015-06-26,70.45,70.45,70.15,70.45,4921000,70.45
2015-06-25,70.00,70.65,70.00,70.45,13804000,70.45
2015-06-24,69.60,69.70,69.40,69.65,6121000,69.65
2015-06-23,69.55,69.85,69.35,69.55,5300000,69.55
2015-06-22,68.75,69.40,68.75,69.35,11303000,69.35
2015-06-18,68.45,68.55,68.20,68.40,10657000,68.40
2015-06-17,68.20,68.75,68.20,68.50,5551000,68.50
2015-06-16,68.65,68.65,68.05,68.20,8611000,68.20
2015-06-15,68.80,69.00,68.50,68.65,3733000,68.65
2015-06-12,68.90,69.00,68.45,68.80,3127000,68.80
2015-06-11,68.80,68.90,68.40,68.85,7336000,68.85
2015-06-10,68.55,68.90,68.45,68.65,8654000,68.65
2015-06-09,68.50,68.60,68.00,68.35,18401000,68.35
2015-06-08,68.30,69.05,68.00,68.90,9060000,68.90
2015-06-05,68.50,68.60,68.20,68.45,15090000,68.45
2015-06-04,69.80,69.90,68.35,68.60,28137000,68.60
2015-06-03,70.30,70.40,69.90,69.95,6541000,69.95
2015-06-02,70.45,70.50,70.00,70.40,4861000,70.40
2015-06-01,71.10,71.15,70.25,70.50,7840000,70.50
2015-05-29,71.70,71.70,71.05,71.10,4882000,71.10
2015-05-28,71.75,71.90,71.25,71.50,5766000,71.50
2015-05-27,70.85,71.30,70.70,71.15,5790000,71.15
2015-05-26,71.20,71.60,70.80,71.00,7503000,71.00
2015-05-25,70.45,70.95,70.30,70.70,2383000,70.70
2015-05-22,70.20,70.95,70.20,70.70,6139000,70.70
2015-05-21,70.15,70.20,69.75,70.15,11553000,70.15
2015-05-20,71.25,71.25,70.80,70.80,7524000,70.80
2015-05-19,70.40,71.45,70.40,71.30,8430000,71.30
2015-05-18,70.05,70.30,70.00,70.25,3239000,70.25
2015-05-15,70.30,70.35,69.70,70.00,11634000,70.00
2015-05-14,70.85,70.95,70.00,70.10,16464000,70.10
2015-05-13,70.70,71.20,70.70,71.10,6844000,71.10
2015-05-12,70.60,70.85,70.55,70.70,9048000,70.70
2015-05-11,71.00,71.20,70.30,70.85,11192000,70.85
2015-05-08,70.45,70.65,70.45,70.50,5632000,70.50
2015-05-07,70.80,70.80,70.15,70.45,10168000,70.45
2015-05-06,70.80,71.40,70.50,71.30,6585000,71.30
2015-05-05,71.40,71.40,70.90,71.20,6781000,71.20
2015-05-04,71.45,71.65,70.85,71.60,5364000,71.60
2015-04-30,71.60,71.80,71.15,71.45,6742000,71.45
2015-04-29,72.50,72.70,71.60,71.80,10060000,71.80
2015-04-28,72.85,73.10,72.35,72.60,16452000,72.60
2015-04-27,73.00,73.30,72.60,72.75,13253000,72.75
2015-04-24,71.70,72.85,71.70,72.20,26487000,72.20
2015-04-23,70.20,71.50,70.15,71.50,24299000,71.50
2015-04-22,69.30,69.80,69.25,69.65,11302000,69.65
2015-04-21,69.05,69.30,68.85,68.95,2857000,68.95
2015-04-20,68.70,69.15,68.55,68.95,9560000,68.95
2015-04-17,69.55,69.55,68.90,69.05,9226000,69.05
2015-04-16,68.95,69.70,68.90,69.70,15728000,69.70
2015-04-15,69.25,69.50,68.40,68.65,17241000,68.65
2015-04-14,69.85,69.85,69.50,69.50,4557000,69.50
2015-04-10,69.70,69.80,69.45,69.65,4579000,69.65
2015-04-09,69.00,69.85,68.95,69.10,6188000,69.10
2015-04-08,69.60,69.60,68.85,69.00,5051000,69.00
2015-04-07,69.55,69.70,69.35,69.60,3417000,69.60
2015-04-02,68.90,69.75,68.90,69.50,7782000,69.50
2015-04-01,68.70,68.85,68.50,68.65,8217000,68.65
2015-03-31,69.00,69.25,68.80,69.05,7634000,69.05
2015-03-30,68.75,68.90,68.55,68.80,10336000,68.80
2015-03-27,69.40,69.40,68.65,68.75,9983000,68.75
2015-03-26,69.40,69.70,69.15,69.40,9497000,69.40
2015-03-25,70.50,70.60,70.10,70.25,4431000,70.25
2015-03-24,70.55,70.85,70.35,70.50,4495000,70.50
2015-03-23,70.55,70.90,70.45,70.75,7591000,70.75
2015-03-20,70.65,70.65,70.40,70.55,4477000,70.55
2015-03-19,70.50,70.90,70.25,70.65,12474000,70.65
2015-03-18,69.20,70.15,69.20,69.90,18607000,69.90
2015-03-17,69.20,69.75,69.00,69.15,7081000,69.15
2015-03-16,69.35,69.35,68.85,68.90,6039000,68.90
2015-03-13,69.65,69.75,69.45,69.45,4501000,69.45
2015-03-12,68.85,69.65,68.80,69.65,5704000,69.65
2015-03-11,68.35,69.15,68.30,69.05,10018000,69.05
2015-03-10,69.00,69.05,68.60,68.95,6941000,68.95
2015-03-09,69.45,69.50,68.90,69.10,7448000,69.10
2015-03-06,69.55,69.90,69.30,69.80,3047000,69.80
2015-03-05,69.95,70.00,69.35,69.70,3750000,69.70
2015-03-04,69.55,70.05,69.50,69.95,6405000,69.95
2015-03-03,70.05,70.10,69.50,69.90,5053000,69.90
2015-03-02,70.30,70.55,69.75,70.00,6567000,70.00
2015-02-26,70.55,70.65,70.05,70.30,8627000,70.30
2015-02-25,70.70,70.90,70.55,70.80,23218000,70.80
2015-02-24,69.95,70.45,69.95,70.25,14508000,70.25
2015-02-16,69.45,69.45,69.45,69.45,000,69.45
2015-02-13,69.35,69.65,69.35,69.45,7581000,69.45
2015-02-12,69.00,69.20,68.80,69.00,9303000,69.00
2015-02-11,68.70,69.25,68.70,69.00,7180000,69.00
2015-02-10,68.45,68.50,68.20,68.25,8015000,68.25
2015-02-09,68.75,68.75,68.25,68.50,3494000,68.50
2015-02-06,69.10,69.20,68.65,68.75,4098000,68.75
2015-02-05,69.05,69.25,68.80,69.10,4768000,69.10
2015-02-04,69.20,69.50,69.05,69.40,20331000,69.40
2015-02-03,68.35,68.85,68.10,68.65,16638000,68.65
2015-02-02,68.20,68.35,67.90,68.15,5796000,68.15
2015-01-30,68.60,68.60,68.00,68.00,4243000,68.00
2015-01-29,69.05,69.05,68.15,68.30,19757000,68.30
2015-01-28,68.80,69.20,68.80,69.15,35968000,69.15
2015-01-27,69.00,69.25,68.80,69.15,36183000,69.15
2015-01-26,68.55,68.85,68.45,68.70,20438000,68.70
2015-01-23,68.25,68.70,68.25,68.70,35822000,68.70
2015-01-22,67.50,67.90,67.45,67.60,16099000,67.60
2015-01-21,67.20,67.30,67.00,67.25,17536000,67.25
2015-01-16,66.25,66.40,65.35,65.50,9290000,65.50
2015-01-15,65.65,65.95,65.35,65.80,3470000,65.80
2015-01-14,66.00,66.05,65.40,65.60,7194000,65.60
2015-01-13,65.60,66.40,65.40,65.95,6146000,65.95
2015-01-12,65.80,66.15,65.65,65.75,9047000,65.75
2015-01-09,66.90,66.95,66.05,66.15,5877000,66.15
2015-01-08,65.50,66.60,65.50,66.50,13117000,66.50
2015-01-07,64.70,65.25,64.70,65.00,6979000,65.00
2015-01-06,65.75,65.75,64.75,64.90,19469000,64.90
2015-01-05,66.40,66.75,66.00,66.55,6283000,66.55
2014-12-30,67.15,67.45,66.85,66.85,8556000,66.85
2014-12-29,66.60,67.30,66.55,67.20,11043000,67.20
2014-12-26,66.35,66.50,66.20,66.45,6262000,66.45
2014-12-25,66.35,66.40,66.15,66.30,4400000,66.30
2014-12-24,65.90,66.40,65.85,66.30,6920000,66.30
2014-12-23,66.15,66.30,65.75,65.80,5224000,65.80
2014-12-22,65.35,66.00,65.30,66.00,7407000,66.00
2014-12-19,64.70,65.30,64.60,65.20,17117000,65.20
2014-12-18,63.95,64.10,63.65,63.70,8566000,63.70
2014-12-17,64.55,64.55,63.40,63.55,19551000,63.55
2014-12-16,64.80,65.00,64.55,64.55,12669000,64.55
2014-12-15,64.75,65.10,64.50,65.10,10548000,65.10
2014-12-12,65.25,65.50,65.15,65.30,4425000,65.30
2014-12-11,65.05,65.35,64.70,65.25,6899000,65.25
2014-12-10,65.95,66.15,65.15,65.30,12837000,65.30
2014-12-09,66.25,66.30,66.00,66.20,4604000,66.20
2014-12-08,67.05,67.05,66.35,66.35,7621000,66.35
2014-12-05,67.10,67.10,66.75,66.85,4297000,66.85
2014-12-04,67.25,67.45,67.10,67.10,11355000,67.10
2014-12-03,65.80,67.00,65.70,66.85,10696000,66.85
2014-12-02,66.35,66.50,65.65,65.80,19673000,65.80
2014-12-01,66.30,67.45,66.15,66.80,21255000,66.80
2014-11-28,67.55,67.70,67.35,67.50,9344000,67.50
2014-11-27,67.15,67.85,67.15,67.50,16514000,67.50
2014-11-26,66.75,66.90,66.65,66.85,8904000,66.85
2014-11-25,66.65,67.05,66.45,66.85,13164000,66.85
2014-11-24,66.90,67.20,66.75,66.80,13110000,66.80
2014-11-21,66.60,66.80,66.45,66.65,11922000,66.65
2014-11-20,66.05,66.70,66.05,66.60,20688000,66.60
2014-11-17,66.05,66.10,64.80,65.10,17439000,65.10
2014-11-13,65.00,65.65,65.00,65.65,10816000,65.65
2014-11-12,65.75,65.85,64.90,65.00,18786000,65.00
2014-11-11,66.25,66.35,65.95,65.95,15080000,65.95
2014-11-10,65.40,66.30,65.25,66.15,16354000,66.15
2014-11-07,65.00,65.25,64.70,65.20,10640000,65.20
2014-11-06,65.55,65.70,64.95,65.10,21118000,65.10
2014-11-05,65.80,65.85,65.35,65.50,10529000,65.50
2014-11-04,65.75,66.05,65.55,65.65,10980000,65.65
2014-11-03,65.30,65.90,65.30,65.60,10583000,65.60
2014-10-31,65.00,65.30,64.70,65.30,16546000,65.30
2014-10-30,64.85,64.95,64.55,64.80,9070000,64.80
2014-10-29,64.60,65.00,64.50,65.00,9360000,65.00
2014-10-28,64.00,64.35,64.00,64.35,11152000,64.35
2014-10-27,63.40,63.45,63.00,63.25,8034000,63.25
2014-10-24,63.85,63.85,62.80,63.05,22459000,63.05
2014-10-23,65.30,65.30,65.00,65.05,7019000,63.50
2014-10-22,65.10,65.45,65.00,65.30,9317000,63.74
2014-10-21,64.40,64.55,64.20,64.30,7212000,62.77
2014-10-20,64.25,64.60,63.90,64.60,10799000,63.06
2014-10-17,64.25,64.40,63.35,63.35,15641000,61.84
2014-10-16,63.65,64.35,63.25,64.00,24694000,62.48
2014-10-15,64.45,64.80,63.95,64.10,14382000,62.57
2014-10-14,64.00,64.60,64.00,64.55,12842000,63.01
2014-10-13,64.15,64.55,63.80,64.00,19537000,62.48
2014-10-09,66.10,66.45,65.70,66.00,14961000,64.43
2014-10-08,65.80,66.05,65.70,65.70,8063000,64.13
2014-10-07,66.25,66.25,65.70,66.10,11298000,64.52
2014-10-06,66.65,66.70,66.15,66.65,6616000,65.06
2014-10-03,65.80,66.70,65.60,66.70,16216000,65.11
2014-10-02,65.00,65.75,64.90,65.50,11479000,63.94
2014-10-01,65.05,65.65,64.85,65.50,17471000,63.94
2014-09-30,65.30,65.65,64.65,65.30,20630000,63.74
2014-09-29,65.65,65.70,65.20,65.40,17132000,63.84
2014-09-26,65.50,65.85,65.25,65.60,23158000,64.04
2014-09-25,66.70,66.85,65.70,65.95,23032000,64.38
2014-09-24,66.55,66.80,66.30,66.55,25167000,64.96
2014-09-23,66.90,67.00,66.65,66.80,14754000,65.21
2014-09-22,67.35,67.35,66.55,66.95,27031000,65.35
2014-09-19,68.20,68.25,67.85,68.00,12106000,66.38
2014-09-18,67.70,68.05,67.60,67.85,16226000,66.23
2014-09-17,67.50,68.20,67.45,67.70,16509000,66.09
2014-09-16,67.65,67.65,67.15,67.20,17987000,65.60
2014-09-15,67.15,67.75,67.15,67.75,13108000,66.14
2014-09-12,68.40,68.40,67.60,67.75,19493000,66.14
2014-09-11,68.70,68.70,68.40,68.40,8664000,66.77
2014-09-10,68.95,68.95,68.05,68.65,17836000,67.01
2014-09-09,69.40,69.50,69.25,69.25,7405000,67.60
2014-09-05,69.30,69.30,68.65,69.00,7386000,67.36
2014-09-04,69.00,69.15,68.80,69.00,5373000,67.36
2014-09-03,68.90,69.45,68.85,69.25,6859000,67.60
2014-09-02,69.70,69.70,68.60,68.75,17711000,67.11
2014-09-01,69.25,69.95,69.25,69.80,5257000,68.14
2014-08-29,69.05,69.30,68.85,69.20,2404000,67.55
2014-08-28,69.25,69.45,69.20,69.35,3864000,67.70
2014-08-27,68.95,69.40,68.95,69.25,7577000,67.60
2014-08-26,68.60,68.80,68.55,68.60,1728000,66.97
2014-08-25,68.75,68.90,68.60,68.65,2943000,67.01
2014-08-22,68.10,68.95,68.10,68.75,7520000,67.11
2014-08-21,68.00,68.10,67.80,67.90,3043000,66.28
2014-08-20,67.70,68.05,67.70,68.00,8450000,66.38
2014-08-19,67.30,67.75,67.00,67.75,6633000,66.14
2014-08-18,67.10,67.10,66.60,66.90,2411000,65.31
2014-08-15,67.10,67.25,66.75,67.10,3883000,65.50
2014-08-14,67.00,67.25,66.95,67.10,5964000,65.50
2014-08-13,66.15,66.75,66.05,66.75,5189000,65.16
2014-08-12,66.00,66.30,65.85,66.10,4354000,64.52
2014-08-11,66.00,66.15,65.75,66.05,8071000,64.48
2014-08-08,65.45,65.70,65.05,65.70,14238000,64.13
2014-08-07,65.75,65.90,65.40,65.70,5990000,64.13
2014-08-06,65.30,65.75,65.05,65.70,6844000,64.13
2014-08-05,66.40,66.40,65.10,65.25,19556000,63.70
2014-08-04,66.20,66.70,66.10,66.60,3741000,65.01
2014-07-31,67.85,67.85,66.60,66.75,11115000,65.16
2014-07-30,67.45,67.95,67.45,67.85,2795000,66.23
2014-07-29,67.75,67.95,67.20,67.45,7197000,65.84
2014-07-28,67.45,67.80,67.30,67.50,2758000,65.89
2014-07-25,68.40,68.40,67.45,67.65,5538000,66.04
2014-07-24,68.30,68.40,68.10,68.40,3821000,66.77
2014-07-22,67.70,68.20,67.50,68.10,4145000,66.48
2014-07-21,67.75,67.95,67.50,67.50,5298000,65.89
2014-07-18,67.05,67.60,67.00,67.50,6363000,65.89
2014-07-17,67.95,68.00,67.30,67.50,7991000,65.89
2014-07-16,68.95,69.00,68.10,68.35,4990000,66.72
2014-07-15,68.95,69.05,68.75,68.95,3949000,67.31
2014-07-14,68.25,68.80,68.25,68.70,3069000,67.06
2014-07-11,68.35,68.70,68.15,68.30,7792000,66.67
2014-07-10,67.80,68.45,67.80,68.35,5618000,66.72
2014-07-09,67.65,67.85,67.50,67.85,3125000,66.23
2014-07-08,67.80,67.90,67.60,67.75,5499000,66.14
2014-07-07,67.50,67.70,67.30,67.60,5504000,65.99
2014-07-04,67.80,67.90,67.35,67.70,7063000,66.09
2014-07-03,67.10,67.80,66.90,67.70,8099000,66.09
2014-07-02,66.80,67.55,66.65,67.10,11627000,65.50
2014-07-01,65.95,66.75,65.85,66.55,9585000,64.96
2014-06-30,65.30,66.00,65.20,65.95,7569000,64.38
2014-06-27,65.35,65.35,64.50,65.35,9219000,63.79
2014-06-26,64.75,65.40,64.75,65.35,9201000,63.79
2014-06-25,64.65,64.80,64.60,64.65,7495000,63.11
2014-06-24,64.85,65.05,64.70,64.80,7955000,63.26
2014-06-23,64.80,65.00,64.60,64.70,13731000,63.16
2014-06-20,64.95,65.10,64.70,64.75,3542000,63.21
2014-06-19,64.65,65.05,64.55,64.95,9925000,63.40
2014-06-18,64.40,64.80,64.30,64.50,9523000,62.96
2014-06-17,63.90,64.45,63.85,64.35,3843000,62.82
2014-06-16,63.85,64.00,63.60,63.90,2582000,62.38
2014-06-13,63.90,63.90,63.70,63.85,3314000,62.33
2014-06-12,64.00,64.10,63.90,64.00,4496000,62.48
2014-06-11,64.20,64.25,64.05,64.15,5027000,62.62
2014-06-10,63.85,64.30,63.85,64.20,6833000,62.67
2014-06-09,63.60,63.85,63.60,63.80,3887000,62.28
2014-06-06,63.65,63.75,63.40,63.55,3478000,62.04
2014-06-05,63.30,63.40,63.10,63.40,1694000,61.89
2014-06-04,63.40,63.55,63.30,63.40,3385000,61.89
2014-06-03,63.15,63.45,62.80,63.15,5106000,61.65
2014-05-30,63.40,63.45,63.10,63.10,6686000,61.60
2014-05-29,63.70,63.70,63.40,63.40,9534000,61.89
2014-05-28,63.15,63.80,63.15,63.70,11632000,62.18
2014-05-27,63.05,63.20,62.95,63.10,8023000,61.60
2014-05-26,62.85,63.10,62.85,63.05,8636000,61.55
2014-05-23,62.85,62.90,62.65,62.75,13440000,61.25
2014-05-22,62.00,62.65,61.95,62.65,14651000,61.16
2014-05-21,62.00,62.20,61.75,61.80,6508000,60.33
2014-05-20,61.90,62.30,61.90,62.10,9938000,60.62
2014-05-19,61.85,62.00,61.80,61.85,7159000,60.38
2014-05-16,61.65,61.85,61.40,61.85,9113000,60.38
2014-05-15,61.75,61.85,61.55,61.75,8894000,60.28
2014-05-14,61.60,61.80,61.45,61.80,10731000,60.33
2014-05-13,61.60,61.75,61.35,61.45,5607000,59.99
2014-05-12,61.50,61.50,61.10,61.15,3929000,59.69
2014-05-09,61.70,61.85,61.45,61.45,3930000,59.99
2014-05-08,61.60,61.85,61.40,61.85,3805000,60.38
2014-05-07,61.50,61.60,61.20,61.40,7874000,59.94
2014-05-06,61.50,61.75,61.10,61.55,10308000,60.08
2014-05-05,61.55,61.60,61.00,61.20,6838000,59.74
2014-05-02,61.15,61.65,61.15,61.30,7623000,59.84
2014-04-30,61.40,61.45,60.80,61.00,5569000,59.55
2014-04-29,61.25,61.50,61.10,61.35,6500000,59.89
2014-04-28,60.30,61.50,60.30,61.25,8466000,59.79
2014-04-25,61.65,61.80,60.60,60.70,22883000,59.25
2014-04-24,61.70,61.80,61.60,61.75,4513000,60.28
2014-04-23,61.85,62.05,61.50,61.65,5477000,60.18
2014-04-22,61.55,61.95,61.55,61.75,9125000,60.28
2014-04-21,61.45,61.65,61.45,61.55,3394000,60.08
2014-04-18,61.75,61.90,61.50,61.55,7055000,60.08
2014-04-17,61.30,61.40,61.10,61.15,3526000,59.69
2014-04-16,61.35,61.50,61.10,61.30,7041000,59.84
2014-04-15,61.20,61.45,61.20,61.35,13882000,59.89
2014-04-14,61.10,61.20,60.90,61.05,13386000,59.60
2014-04-11,60.80,61.15,60.80,61.15,14992000,59.69
2014-04-10,61.25,61.30,60.90,61.20,13453000,59.74
2014-04-09,60.80,61.10,60.80,61.00,12051000,59.55
2014-04-08,60.45,60.90,60.45,60.80,13990000,59.35
2014-04-07,60.40,60.50,60.30,60.50,11366000,59.06
2014-04-03,60.80,60.95,60.65,60.65,12604000,59.20
2014-04-02,60.80,61.15,60.80,60.80,19084000,59.35
2014-04-01,60.25,60.60,60.20,60.60,28803000,59.16
2014-03-31,60.05,60.15,59.90,60.10,17122000,58.67
2014-03-28,59.85,60.10,59.80,59.90,20135000,58.47
2014-03-27,59.50,59.85,59.45,59.80,11221000,58.38
2014-03-26,59.45,59.70,59.35,59.70,9956000,58.28
2014-03-25,58.50,59.15,58.50,59.15,4869000,57.74
2014-03-24,58.45,58.65,58.25,58.65,11333000,57.25
2014-03-21,58.65,58.65,58.40,58.50,4128000,57.11
2014-03-20,58.70,58.70,58.30,58.50,18453000,57.11
2014-03-19,59.40,59.45,58.95,59.25,9829000,57.84
2014-03-18,59.40,59.50,59.20,59.40,14826000,57.98
2014-03-17,59.15,59.20,58.90,59.05,8939000,57.64
2014-03-14,59.15,59.30,59.10,59.15,13438000,57.74
2014-03-13,59.25,59.80,59.25,59.75,25655000,58.33
2014-03-12,58.85,59.00,58.75,58.80,2660000,57.40
2014-03-11,59.25,59.45,59.15,59.35,4947000,57.94
2014-03-10,59.30,59.40,58.95,59.05,7894000,57.64
2014-03-07,59.30,59.80,59.30,59.40,30371000,57.98
2014-03-06,58.35,59.20,58.35,59.15,26212000,57.74
2014-03-05,58.20,58.45,58.20,58.30,6889000,56.91
2014-03-04,57.90,58.00,57.70,57.70,6154000,56.33
2014-03-03,57.80,58.15,57.50,57.95,7994000,56.57
2014-02-27,58.30,58.45,58.30,58.30,3660000,56.91
2014-02-26,58.00,58.50,57.95,58.40,8945000,57.01
2014-02-25,58.25,58.25,57.95,58.15,8614000,56.76
