Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,61.15,61.15,60.45,60.55,7248000,60.55,62.078723404255335,-0.024625561229736047,-0.11382978723405301
2015-12-29,61.40,61.40,60.80,61.00,3950000,61.00,62.192553191489388,-0.019175176613469225,-0.095744680851048258
2015-12-28,61.70,61.70,61.40,61.45,3433000,61.45,62.288297872340436,-0.013458352547352007,-0.086170212765964038
2015-12-24,61.35,61.65,61.20,61.20,8431000,61.20,62.3744680851064,-0.018829308227589259,-0.10106382978723616
2015-12-23,60.95,61.30,60.80,60.90,7249000,60.90,62.475531914893637,-0.025218383367105749,-0.10744680851062327
2015-12-22,60.70,60.90,60.40,60.80,5131000,60.80,62.58297872340426,-0.028489834772557402,-0.10531914893617511
2015-12-21,60.05,60.75,59.90,60.65,4324000,60.65,62.688297872340435,-0.032514806455445043,-0.1138297872340388
2015-12-18,60.85,61.25,60.50,60.75,4856000,60.75,62.802127659574474,-0.032676084967984638,-0.091489361702130623
2015-12-17,60.55,61.05,60.35,61.05,7558000,61.05,62.893617021276604,-0.029313261163734956,-0.090425531914881674
2015-12-16,60.00,60.40,59.70,60.35,6502000,60.35,62.984042553191486,-0.041820792162824014,-0.1106382978723488
2015-12-15,59.70,60.05,59.35,59.45,6738000,59.45,63.094680851063835,-0.057765263282132592,-0.11170212765957643
2015-12-14,59.25,59.65,59.00,59.40,9502000,59.40,63.206382978723411,-0.060221496616959094,-0.11595744680851539
2015-12-11,60.55,60.70,59.80,59.85,13803000,59.85,63.322340425531927,-0.05483594576886261,-0.086170212765949827
2015-12-10,60.40,60.75,59.75,60.55,16590000,60.55,63.408510638297876,-0.045080867055902397,-0.060638297872337432
2015-12-09,61.20,61.35,60.70,60.75,15999000,60.75,63.469148936170214,-0.042842057625584573,-0.053191489361701372
2015-12-08,62.25,62.30,61.20,61.50,9101000,61.50,63.522340425531915,-0.031836680008708616,-0.044680851063830573
2015-12-07,62.20,63.00,62.20,62.50,14792000,62.50,63.567021276595746,-0.016785768078590214,0.0021276595744552651
